cluster,parent_wnn_cluster,nuclei,percent_of_all_nuclei,smallest_library_fraction,largest_library_fraction,top_RNA_markers,historical_d21_best_match,historical_d21_overlap_strength,historical_d21_overlap_n,historical_d21_jaccard,historical_d21_enrichment_p_adj,historical_d21_shared_genes,historical_d21_reference_caution,review_scope,review_hint,broad_compartment,cell_state,cell_state_full,annotation_confidence,evidence_summary,approved
0,0,1345,11.421535326086957,35.985130111524164,64.01486988847584,Cftr;Htr4;Dmbt1;Kcnq1;Hmga2;Sema5a;Gm20275;Arid5b;Hmgcs2;Pde8b;Slc12a2;Pde3a;Immp2l;Sorbs2;Tinag,Stem,Moderate,9,0.0989010989010989,2.895242148631172e-14,Cftr;Kcnq1;Hmgcs2;Hao2;Clca3a2;Slc4a4;Lgr5;Kitl;Gsdmc2,The historical stem signature is broad and crypt/absorptive; do not use it alone to assign an ISC label.,standard_review,no preassigned hypothesis,epithelial,Crypt progenitor,Cftr+/Htr4+ crypt epithelial progenitor,moderate,"Cftr, Htr4, Hmga2, Lgr5, Smoc2, Lrig1, and Ephb2 support a crypt progenitor/ISC-axis identity; concurrent Hmgcs2 and Slc4a4 expression suggests absorptive priming, so this is labeled as a crypt progenitor rather than a definitive Lgr5-high ISC.",TRUE
1,1,1257,10.674252717391305,38.98170246618934,61.01829753381066,Slc12a8;9030622O22Rik;Kcnma1;Tnfaip8;Agr2;Fam3d;Ptprn2;Muc2;Dlg2;Pdxdc1;St3gal6;Hepacam2;Elapor1;Sytl2;Arhgef38,DSC,Moderate,6,0.06593406593406594,1.0422399984566237e-8,Slc12a8;Plpp1;Hepacam2;Pdia5;Sytl2;Sval1,No source-specific caution was flagged; cross-platform validation still applies.,standard_review,no preassigned hypothesis,epithelial,DCS-like,Kit+/Spink4+ deep crypt secretory-like cell,moderate,"Slc12a8, Muc2, Agr2, Kit, Spink4, Sytl2, Spdef, and Atoh1 support deep-crypt secretory differentiation. Reg4 was not a defining marker, so the conservative DCS-like label is used.",TRUE
2,2,1057,8.975883152173912,48.81740775780511,51.18259224219489,Marchf3;Lama3;Mxd1;Slc9a2;Ptprh;Prom1;5430427M07Rik;Slc26a3;Lmo7;Krt20;Eps8;Car4;Foxo3;Stk25;Mgam2-ps,EC,Moderate,9,0.0989010989010989,2.895242148631172e-14,Lama3;Krt20;Clca4a;Cyp3a13;Mgam2-ps;Ceacam20;Clic5;Emp1;Nt5e,EC is a source-defined absorptive epithelial label; interpret it as colonocyte-program continuity rather than an exact current cell state.,standard_review,no preassigned hypothesis,epithelial,Car4+ colonocyte,Car4+/Slc26a3+/Krt20+ mature colonocyte,high,"Slc26a3, Krt20, Car4, Slc9a3, and Prom1 support differentiated absorptive colonocyte identity; the historical EC match is interpreted as absorptive epithelial continuity.",TRUE
3,3,999,8.48335597826087,39.03903903903904,60.96096096096096,Saa1;Car4;Muc3;Selenop;mt-Nd4;mt-Co1;AA467197;mt-Nd5;Cdhr5;Fth1;Ces2c;Mxd1;mt-Cytb;Pmp22;Nudt4,EC,Strong,11,0.12359550561797752,2.5267739568883154e-18,Saa1;Aqp8;Ces2c;Pmp22;Rhoc;Mep1a;Tgm3;Tmem37;Ces2e;Slc15a1;Ceacam20,EC is a source-defined absorptive epithelial label; interpret it as colonocyte-program continuity rather than an exact current cell state.,standard_review,no preassigned hypothesis,epithelial,Aqp8+ colonocyte,Aqp8+/Car4+ mature absorptive colonocyte,high,"Car4, Aqp8, Slc26a3, Krt20, Saa1, and Ces2c support a mature absorptive colonocyte identity; the strong historical EC match provides concordant support.",TRUE
4,4,989,8.3984375,38.22042467138524,61.77957532861476,Car8;Slc12a8;Ptprn2;Kcnma1;Sytl2;Pdzrn3;Hepacam2;9030622O22Rik;Tnfaip8;Plcb4;Elapor1;Arhgap24;Myo3a;Chrm3;Galnt10,Goblet,Moderate,7,0.07692307692307693,2.0386391395486908e-10,Slc12a8;Rgs17;Sytl2;Bcas1;Bace2;Fut2;Col8a1,No source-specific caution was flagged; cross-platform validation still applies.,standard_review,no preassigned hypothesis,epithelial,DCS-like,Car8+/Kit+ deep crypt secretory-like cell,moderate,"Car8, Slc12a8, Muc2, Kit, Bcas1, Sytl2, Spdef, and Atoh1 support a deep-crypt secretory-like identity. Reg4 was not a defining marker, so the label remains DCS-like.",TRUE
5,5,821,6.971807065217392,42.752740560292324,57.247259439707676,Grin3a;Lama3;Slc8a1;Nckap5;Slc9a2;Lpin2;Cubn;Malrd1;Slc11a2;Fmo5;Cyp2c55;Slc17a4;Clec2e;Slc40a1;Ptprr,EC,Moderate,5,0.05263157894736842,8.626484881598218e-7,Lama3;Slc30a10;Slc40a1;Mgam2-ps;Cyp3a13,EC is a source-defined absorptive epithelial label; interpret it as colonocyte-program continuity rather than an exact current cell state.,standard_review,no preassigned hypothesis,epithelial,Immature absorptive,Cyp2c55+/Slc11a2+ immature absorptive colonocyte,moderate,"Cyp2c55, Slc11a2, Slc40a1, Fmo5, Slc17a4, Lama3, and partial Krt20/Hmgcs2 expression support an immature absorptive colonocyte state rather than a fully mature surface colonocyte.",TRUE
6,6,778,6.606657608695652,44.8586118251928,55.1413881748072,Fcgbp;Fer1l6;Clca1;Zg16;Sytl2;Bcas1;Scin;Kcnma1;Inpp4b;Clec2h;Hepacam2;Sval1;Tnfaip8;Muc2;Spink1,DSC,Strong,11,0.12790697674418605,1.479399505800093e-18,Fcgbp;Bcas1;Scin;Sytl2;Sval1;Capn9;Rep15;Clec2h;Hepacam2;Hsd11b2;Atp2c2,No source-specific caution was flagged; cross-platform validation still applies.,standard_review,no preassigned hypothesis,epithelial,Mature goblet,Fcgbp+/Clca1+/Zg16+ mature goblet cell,high,"Fcgbp, Clca1, Zg16, Tff3, Muc2, Bcas1, Sytl2, and Scin form a coherent mature goblet-cell program; the strong historical DCS overlap reflects shared secretory-lineage genes.",TRUE
7,7,654,5.553668478260869,45.41284403669725,54.58715596330275,Rplp2;Rps2;Rps8;Rpl27a;Rps21;Rps16;Rps15;Rpl5;Rpl18;Rpl28;Rplp0;Rps3;Rpl37;mt-Nd3;Rps10,No meaningful historical match,No meaningful match,1,0.010101010101010102,0.47718707020871376,Mgst1,Historical reference provides no meaningful match; do not force a label.,standard_review,no preassigned hypothesis,epithelial,Low-complexity crypt,Low-complexity cycling crypt progenitor,low,"Ribosomal and mitochondrial genes dominate the discriminating markers. Lower-ranked Cftr, Htr4, Lgr5, Smoc2, Lrig1, Hopx, Mki67, and Top2a support a low-complexity cycling crypt-progenitor assignment, but precision is limited.",TRUE
8,8,553,4.695991847826087,47.197106690777574,52.802893309222426,Lama3;Marchf3;Slc20a1;5730419F03Rik;Abtb2;9530026P05Rik;Mxd1;5430427M07Rik;Clic5;Tmem45b;Car4;Gm15283;Lmo7;Mgat4a;Phlpp2,EC,Moderate,8,0.08695652173913043,2.914576847720367e-12,Atp12a;Lama3;Clic5;Slc15a1;Tgm3;Egln3;Slc40a1;Gpr137b,EC is a source-defined absorptive epithelial label; interpret it as colonocyte-program continuity rather than an exact current cell state.,standard_review,no preassigned hypothesis,epithelial,Car4+ colonocyte,Car4+/Slc26a3+ mature colonocyte,moderate,"Car4, Slc26a3, Krt20, Clic5, Lama3, and Slc20a1 support mature absorptive colonocyte identity; weaker lineage resolution than clusters 2 and 3 warrants moderate confidence.",TRUE
9,9,537,4.560122282608695,39.47858472998138,60.52141527001862,Cenpp;Diaph3;Rad51b;Top2a;Knl1;Cftr;Kif15;Smc4;Kif11;Neil3;Kif23;Sema5a;Htr4;Mki67;Ect2,TAC,Strong,23,0.30666666666666664,3.184871421071955e-49,Top2a;Kif15;Knl1;Kif11;Mis18bp1;Kif23;Ect2;Anln;Kif4;Kif20b;Tpx2;Depdc1a;Nusap1;Mki67;Ttk;Cenpe;Prc1;Melk;Bub1;Racgap1;Smc2;Ckap2l;Ndc80,No source-specific caution was flagged; cross-platform validation still applies.,standard_review,no preassigned hypothesis,epithelial,Cycling ISC/TA,Cycling ISC/early transit-amplifying cell,high,"Top2a, Mki67, Kif11, Kif23, Ect2, Anln, Tpx2, Cenpf, Cftr, Htr4, Lgr5, and Smoc2 support a proliferative ISC/early transit-amplifying identity.",TRUE
