cluster,nuclei,percent_of_all_nuclei,smallest_library_fraction,largest_library_fraction,top_RNA_markers,historical_d21_best_match,historical_d21_overlap_strength,historical_d21_overlap_n,historical_d21_jaccard,historical_d21_enrichment_p_adj,historical_d21_shared_genes,historical_d21_reference_caution,review_scope,review_hint,broad_compartment,cell_state,annotation_confidence,evidence_summary,approved
0,1378,10.689628422930728,36.06676342525399,63.93323657474601,Rpl27a;Rps2;Rps8;Rplp0;Rps21;Rplp2;Rpl28;Rpl13;Rps26;Rpl18;Rps16;Rps15;Rps18;Rps20;Rpsa,Stem,Limited,3,0.030927835051546393,0.0017938588933174762,Mgst1;Aqp4;Gsdmc4,The historical stem signature is broad and crypt/absorptive; do not use it alone to assign an ISC label.,low_confidence_QC_review,low-complexity crypt epithelial candidate; review QC before labeling,epithelial,Low-complexity crypt progenitor,low,"Krt8/Krt19 with Cftr, Htr4, Slc12a2 and modest Lgr5/Smoc2 expression supports crypt epithelium; predominantly ribosomal top markers prevent a precise stem-versus-progenitor call.",TRUE
1,1318,10.224187417578156,27.23823975720789,72.761760242792107,9030622O22Rik;Slc12a8;Muc2;Meg3;Kcnma1;Elapor1;Dlg2;Fut8;Pdxdc1;Agr2;Tnfaip8;Galnt7;Fam3d;Arhgef38;Ptprn2,Goblet,Moderate,9,0.10112359550561797,1.584717423224692e-14,Slc12a8;Meg3;Rian;B830012L14Rik;Spdef;Col8a1;Mirg;Etv5;Sytl2,No source-specific caution was flagged; cross-platform validation still applies.,epithelial_review,immature goblet/secretory candidate,epithelial,Immature goblet/secretory cell,moderate,"Muc2 and Agr2 occur with Atoh1, Spdef, Spink4, Kit and Reg4, supporting an immature secretory state rather than fully mature goblet identity.",TRUE
2,1106,8.579629198665735,16.907775768535263,83.09222423146474,Cftr;Htr4;Gm20275;Mecom;Slc12a2;Dmbt1;Sema5a;Immp2l;Ptprk;Gmds;Ptprd;Pde3a;Kcnq1;Xist;Hmgcs2,Stem,Moderate,7,0.07526881720430108,1.994548946706421e-10,Cftr;Hmgcs2;Kcnq1;Aqp4;Clca3a2;Slc4a4;Kitl,The historical stem signature is broad and crypt/absorptive; do not use it alone to assign an ISC label.,focused_crypt_review,crypt progenitor/ISC-adjacent candidate,epithelial,Crypt progenitor,moderate,"Coordinated Cftr, Htr4, Slc12a2, Pde3a, Ephb2 and Lrig1 expression supports noncycling crypt progenitors; Lgr5 detection is insufficient for a definitive ISC call.",TRUE
3,1099,8.525327748041269,45.58689717925387,54.41310282074613,Top2a;Cenpp;Sema5a;Rad51b;Cftr;Htr4;Diaph3;Nfia;Knl1;Gm20275;Slc12a2;Kif15;Sorbs2;Mki67;Clca3b,TAC,Strong,20,0.2564102564102564,9.7901354306138e-41,Top2a;Knl1;Kif15;Mis18bp1;Kif11;Ect2;Kif23;Anln;Kif4;Mki67;Kif20b;Cenpe;Tpx2;Nusap1;Depdc1a;Prc1;Ttk;Cenpf;Bub1b;Hmmr,No source-specific caution was flagged; cross-platform validation still applies.,focused_crypt_review,cycling ISC/early progenitor candidate,epithelial,Cycling ISC/early TA cell,moderate,"Strong Top2a, Mki67, Cdk1 and Birc5 expression occurs with Lgr5, Smoc2, Lrig1 and crypt markers; cycling ISC and early TA states cannot be cleanly separated.",TRUE
4,930,7.214335582964859,6.774193548387097,93.2258064516129,Mxd1;Krt20;Eps8;Marchf3;Muc3;Lmo7;Ahnak;Ceacam20;Duox2;Lgals3;Car4;Clca4a;Plac8;Myo15b;Dsg2,EC,Strong,11,0.12359550561797752,1.3466212906537465e-18,Krt20;Clca4a;Emp1;Ceacam20;Aqp8;Pmp22;Saa1;Ifit1bl1;Clic5;Ly6g;Lama3,EC is a source-defined absorptive epithelial label; interpret it as colonocyte-program continuity rather than an exact current cell state.,epithelial_review,mature colonocyte candidate; strongly library-skewed,epithelial,Car4+/Duox2+ mature colonocyte,moderate,"Krt20, Aqp8, Slc26a3, Car4 and mature epithelial genes support colonocyte identity; Duox2 and MHC-II expression suggest an activated epithelial state, and 93% of nuclei derive from one library.",TRUE
5,920,7.136762082072764,19.67391304347826,80.32608695652173,Fcgbp;Fer1l6;Sytl2;Clca1;Sval1;Muc2;Kcnma1;Bcas1;Zg16;Clec2h;Tnfaip8;Scin;Rab27b;Hepacam2;Rep15,DSC,Strong,12,0.13953488372093023,5.661201844244214e-21,Fcgbp;Bcas1;Sytl2;Scin;Rep15;Sval1;Clec2h;Hepacam2;Capn9;St6gal1;Gm1123;Hsd11b2,No source-specific caution was flagged; cross-platform validation still applies.,epithelial_review,goblet candidate,epithelial,Mature goblet cell,high,"Strong and widespread Muc2, Fcgbp, Clca1, Tff3 and Agr2 expression defines a mature goblet population.",TRUE
6,839,6.508416724846792,31.34684147794994,68.65315852205006,Fut9;Htr4;Cftr;Gm20275;Sema5a;Sorbs2;B4galnt3;Ptprk;Mcc;Utrn;Tmem117;Pde3a;Aopep;Nfia;Gm43824,Stem,Strong,10,0.1111111111111111,1.836404951194788e-16,Fut9;Cftr;Kcnq1;Acsm3;Cttnbp2;Clca3a2;Nxpe2;Lgr5;Hes1;Nxpe4,The historical stem signature is broad and crypt/absorptive; do not use it alone to assign an ISC label.,focused_crypt_review,ISC-like candidate with minimal canonical cycling-marker detection,epithelial,ISC-like crypt cell,moderate,"Lgr5, Smoc2, Lrig1, Ephb2, Cftr, Htr4 and Fut9 support an ISC-like crypt state without strong proliferation.",TRUE
7,835,6.477387324489954,15.808383233532934,84.19161676646706,Lama3;Mxd1;Eps8;Marchf3;Muc3;Car4;Neat1;Lmo7;Errfi1;Jun;Clca4a;Saa1;Cxadr;Trpm6;Acsl3,EC,Moderate,9,0.0989010989010989,2.0822492915827685e-14,Lama3;Clca4a;Slc34a2;Mep1a;Aqp8;Cyp3a13;Emp1;Ceacam20;Saa1,EC is a source-defined absorptive epithelial label; interpret it as colonocyte-program continuity rather than an exact current cell state.,epithelial_review,absorptive/colonocyte candidate,epithelial,Car4+ absorptive colonocyte,moderate,"Car4 with Aqp8, Cyp2c55, Krt20 and Slc26a3 supports an absorptive colonocyte state of intermediate maturation.",TRUE
8,746,5.786983166550306,4.825737265415549,95.17426273458445,Guca2a;1810065E05Rik;Phgr1;Cdhr5;Ces2c;Krt20;Aqp8;Mep1a;Car4;Mxd1;Cdhr2;Muc3;Selenop;Lgals3;Tspan1,EC,Strong,12,0.13636363636363635,8.8514858500002e-21,Ces2c;Aqp8;Mep1a;Ces2e;Krt20;Pmp22;Slc34a2;Cyp4f14;Emp1;Saa1;Mep1b;Ceacam20,EC is a source-defined absorptive epithelial label; interpret it as colonocyte-program continuity rather than an exact current cell state.,epithelial_review,mature colonocyte candidate; strongly library-skewed,epithelial,Aqp8+ mature absorptive colonocyte,high,"Strong Aqp8, Krt20, Slc26a3, Cyp2c55, Selenbp1 and Guca2a expression defines mature absorptive colonocytes; abundance is strongly library-skewed.",TRUE
9,678,5.259483360484059,43.95280235988201,56.04719764011799,Slc40a1;Saa1;Tgm3;Prdx6;Car4;Selenop;AA467197;Atp12a;Clic5;Cdhr5;Tm4sf20;Dmbt1;Lama3;Muc3;Slc26a2,EC,Strong,15,0.17647058823529413,1.117701969555368e-27,Tgm3;Saa1;Slc40a1;Atp12a;Clic5;Tmem37;Ces2c;Slc15a1;Ly6g;Lama3;Pmp22;Ceacam20;Egln3;Rhoc;Mep1a,EC is a source-defined absorptive epithelial label; interpret it as colonocyte-program continuity rather than an exact current cell state.,epithelial_review,absorptive/colonocyte candidate,epithelial,Slc40a1+/Tgm3+ surface colonocyte,high,"Slc40a1, Tgm3, Car4, Atp12a, Krt20, Aqp8 and Selenbp1 support a mature surface absorptive state.",TRUE
