cluster,nuclei,percent_of_all_nuclei,smallest_library_fraction,largest_library_fraction,top_RNA_markers,historical_d21_best_match,historical_d21_overlap_strength,historical_d21_overlap_n,historical_d21_jaccard,historical_d21_enrichment_p_adj,historical_d21_shared_genes,historical_d21_reference_caution,review_scope,review_hint,broad_compartment,cell_state,cell_state_full,annotation_confidence,evidence_summary,approved
0,2643,13.393807327826483,47.181233446840714,52.818766553159286,Cftr;Gm20275;Htr4;Slc12a2;Sema5a;Mecom;Kcnq1;Immp2l;Ptprk;Dmbt1;Cenpp;Nfia;Rad51b;Clca3b;Pde3a,TAC,Moderate,6,0.06521739130434782,3.7192594433541516e-8,Top2a;Kif15;Knl1;Kif11;Kif23;Ect2,No source-specific caution was flagged; cross-platform validation still applies.,standard_review,no preassigned hypothesis,epithelial,Cycling ISC/TA,Cycling ISC/early transit-amplifying cell,moderate,"Lgr5, Smoc2, Lrig1, Ephb2, Cftr and Htr4 occur with Top2a, Mki67, Anln, Kif11 and Kif23; cycling ISC and early transit-amplifying identities cannot be cleanly separated.",TRUE
1,2160,10.946130846804845,28.194444444444443,71.80555555555556,Grin3a;Nr1h4;Slc11a2;Slc8a1;Lama3;Ptprd;Cyp2c55;Gls;Erbin;Nr3c2;Slc40a1;Eps8;Adk;Pparg;Tcf7l2,EC,Moderate,5,0.05263157894736842,2.2629024810282096e-6,Lama3;Slc40a1;Slc30a10;Mgam2-ps;Cyp3a13,EC is a source-defined absorptive epithelial label; interpret it as colonocyte-program continuity rather than an exact current cell state.,standard_review,no preassigned hypothesis,epithelial,Immature absorptive,Cyp2c55+ immature absorptive colonocyte,moderate,"Cyp2c55, Selenbp1, Nr1h4, Slc11a2 and Car1 support immature absorptive identity; weaker Aqp8, Slc26a3 and Krt20 expression argues against full colonocyte maturation.",TRUE
2,1948,9.871788374803629,27.00205338809035,72.99794661190965,Eef1a1;mt-Nd2;Rpl13;Rps8;mt-Nd4;Rps2;Rpl14;Rps3a1;Rpl7;mt-Nd3;Rplp0;Rps16;Rpl11;Rplp1;Rpl18,No meaningful historical match,No meaningful match,2,0.02040816326530612,0.05246134090414694,Mgst1;Aqp4,Historical reference provides no meaningful match; do not force a label.,standard_review,no preassigned hypothesis,epithelial,Low-complexity crypt,Low-complexity crypt progenitor,low,"Cftr, Htr4, Slc12a2 and Pde3a support crypt epithelium, but predominantly ribosomal and mitochondrial top markers, no meaningful historical match, and a median mitochondrial percentage near 17% prevent a more precise assignment.",TRUE
3,1884,9.547458571935337,44.16135881104034,55.83864118895966,Muc3;Lypd8;Eps8;Lgals3;Mxd1;Lmo7;Saa1;Lama3;Tmem45b;Neat1;AA467197;Marchf3;Tcf7l2;St3gal4;Ceacam1,EC,Strong,15,0.17647058823529413,4.116293758735618e-27,Saa1;Clca4a;Aqp8;Pmp22;Atp12a;Lama3;Nt5e;Tgm3;Krt20;Ces2c;Emp1;Clic5;Ceacam20;Slc15a1;Trpv6,EC is a source-defined absorptive epithelial label; interpret it as colonocyte-program continuity rather than an exact current cell state.,standard_review,no preassigned hypothesis,epithelial,Mature colonocyte,Car4+/Aqp8+ mature colonocyte,high,"Car4, Aqp8, Atp12a, Slc26a3, Krt20, Muc3, Lypd8 and Tgm3 define a mature absorptive colonocyte state.",TRUE
4,1842,9.33461713880302,41.530944625407166,58.469055374592834,Muc2;Slc12a8;Car8;9030622O22Rik;Kcnma1;Galnt7;Fut8;Myo3a;Pdxdc1;Dlg2;Ptprn2;Gmds;Elapor1;Vps13b;Gfpt1,Goblet,Limited,3,0.031578947368421054,0.0024102320396991055,Slc12a8;Sytl2;Rgs17,No source-specific caution was flagged; cross-platform validation still applies.,standard_review,no preassigned hypothesis,epithelial,Immature goblet,Immature goblet/secretory cell,moderate,"Muc2 and Agr2 with Atoh1, Gfi1, Spdef and Kit support immature secretory and goblet identity; weak Tff3, Clca1 and Fcgbp expression argues against a mature goblet call.",TRUE
5,1780,9.020422642274363,43.82022471910113,56.17977528089887,Fcgbp;Fer1l6;Clca1;Muc2;Sytl2;Zg16;Bcas1;Clec2h;Kcnma1;Rab27b;Shroom3;Neat1;Tnfaip8;Galnt7;Scin,DSC,Moderate,8,0.08791208791208792,8.643603655339945e-12,Fcgbp;Sytl2;Bcas1;Scin;Clec2h;Sval1;Hepacam2;Rep15,No source-specific caution was flagged; cross-platform validation still applies.,standard_review,no preassigned hypothesis,epithelial,Mature goblet,Mature goblet cell,high,"Strong and widespread Muc2, Fcgbp, Clca1, Tff3, Zg16, Agr2, Sytl2 and Bcas1 expression defines mature goblet cells.",TRUE
6,1032,5.229818071251204,43.31395348837209,56.68604651162791,Dmbt1;Cftr;Immp2l;Mecom;Hmgcs2;Hsd3b3;Htr4;Ptprk;Hnf4g;Nr5a2;Trim2;Satb2;Pde3a;Pard3b;Pcsk5,Stem,Limited,4,0.057971014492753624,3.9872506001990895e-6,Cftr;Hmgcs2;Hsd3b3;Slc4a4,The historical stem signature is broad and crypt/absorptive; do not use it alone to assign an ISC label.,standard_review,no preassigned hypothesis,epithelial,Crypt progenitor,Crypt progenitor,moderate,"Cftr, Htr4, Slc12a2, Pde3a, Dmbt1 and Ephb2 support noncycling crypt progenitors; minimal Lgr5 and cell-cycle expression prevents a definitive ISC call.",TRUE
7,918,4.652105609892059,38.56209150326797,61.43790849673203,Meg3;9030622O22Rik;Muc2;Dlg2;Rian;Slc12a8;Fam3d;Fut8;Pdxdc1;Kcnma1;Galnt7;St3gal6;Arhgef38;Gmds;Gfpt1,Goblet,Moderate,6,0.06521739130434782,3.7192594433541516e-8,Meg3;Rian;B830012L14Rik;Slc12a8;Col8a1;Mirg,No source-specific caution was flagged; cross-platform validation still applies.,standard_review,no preassigned hypothesis,epithelial,Immature goblet,Immature goblet/secretory cell,moderate,"Muc2 and Agr2 with Atoh1, Spdef, Kit and Spink4 support immature goblet and secretory identity; Reg4 and Mptx1 remain too weak for a deep crypt secretory call.",TRUE
8,793,4.018648963664927,17.90668348045397,82.09331651954602,Gm20275;Cftr;Ptprk;Mecom;Sema5a;Htr4;Arid5b;Slc12a2;Immp2l;Kcnq1;Xist;Cers6;Utrn;Satb2;Nfia,Stem,Moderate,5,0.06756756756756757,1.6069628086474158e-7,Cftr;Kcnq1;Lgr5;Clca3a2;Slc4a4,The historical stem signature is broad and crypt/absorptive; do not use it alone to assign an ISC label.,standard_review,no preassigned hypothesis,epithelial,ISC-like crypt,ISC-like crypt cell,moderate,"Lgr5, Smoc2, Lrig1, Ephb2, Cftr, Htr4 and Fut9 support an ISC-like crypt identity; modest proliferation and an incomplete canonical stem program warrant moderate confidence.",TRUE
9,695,3.522018953022855,25.755395683453237,74.24460431654676,Agr2;Spink4;Klk1;Fam3d;Muc2;mt-Nd2;mt-Nd3;Eef1a1;mt-Nd4;Slc12a8;9030622O22Rik;Gfpt1;Rps8;Rps2;Rpl13,DSC,Strong,10,0.11235955056179775,7.102962234606616e-16,Ccl6;Reg4;Sval1;Selenom;Atp2c2;Slc12a8;Ramp1;Gm1123;Pdia5;Hgfac,No source-specific caution was flagged; cross-platform validation still applies.,standard_review,no preassigned hypothesis,epithelial,Reg4+ DCS,Reg4+ deep crypt secretory cell,high,"Reg4, Mptx1, Spink4, Agr2, Muc2, Retnlb, Ccl6 and Selenom define colonic deep crypt secretory cells rather than Paneth cells.",TRUE
10,643,3.258500988192368,36.70295489891135,63.29704510108865,Cmss1;Ppia;Gphn;Camk1d;Rpl13;Rps2;Rps8;Lars2;mt-Nd1;Ptma;Rpsa;Rpl13a;Rps24;Gm19951;Ccnd2,No meaningful historical match,No meaningful match,0,0,1,,Historical reference provides no meaningful match; do not force a label.,standard_review,no preassigned hypothesis,epithelial,Low-information epithelial,Low-information epithelial state,low,Generic and ribosomal markers with mixed crypt and goblet signal do not establish a coherent state; median TSS enrichment near 4.4 and FRiP near 0.33 are also lower than in the other retained clusters.,TRUE
11,585,2.964577104342979,27.521367521367523,72.47863247863248,Prkg1;Kcnip4;Dmd;Cacnb2;Myh11;Slc24a3;Cacna1c;Rbpms;Foxp2;Slc8a1;Sntg2;Lpp;Sorbs1;Synpo2;Dpp10,No meaningful historical match,No meaningful match,0,0,1,,Historical reference provides no meaningful match; do not force a label.,standard_review,no preassigned hypothesis,stromal,Smooth muscle,Smooth muscle cell,high,"Myh11, Carmn, Acta2, Tagln, Mylk, Prkg1, Synpo2 and Actg2 define a smooth-muscle population.",TRUE
12,575,2.9139005726448084,47.82608695652174,52.17391304347826,Arhgap15;Ptprc;Mbnl1;Dock10;Dock2;Actb;Tmsb4x;Ikzf2;Skap1;Ankrd44;B2m;St6galnac3;Ikzf1;H2-K1;Elmo1,No meaningful historical match,No meaningful match,2,0.029411764705882353,0.01081787955241896,Ptprc;Skap1,Historical reference provides no meaningful match; do not force a label.,standard_review,no preassigned hypothesis,immune,T/NK lymphocyte,T/NK lymphocyte,moderate,"Ptprc, Skap1, Ikzf1, Ikzf2 and Dock2 with Cd3d, Cd3e, Trbc1, Nkg7 and Klrd1 support lymphoid identity, but sparse subtype-marker detection does not justify separating T and NK cells.",TRUE
